dataset,model,seed,initial_lr,reference_lr,reference_step1_ratio,projected_step1_ratio,threshold_kappa10,margin_over_threshold,exceeds_threshold
dbpedia_14,large-6,42,0.0001,1.0,10.992778047648734,0.0010992778047648735,0.0003472303038485647,3.165846392382545,True
dbpedia_14,large-6,456,1.0,1.0,11.000147042372891,11.000147042372891,0.0003472303038485647,31679.68613468228,True
dbpedia_14,large-6,456,0.3,1.0,11.000147042372891,3.300044112711867,0.0003472303038485647,9503.905840404685,True
dbpedia_14,large-6,456,0.1,1.0,11.000147042372891,1.1000147042372892,0.0003472303038485647,3167.9686134682283,True
dbpedia_14,large-6,456,0.03,1.0,11.000147042372891,0.33000441127118674,0.0003472303038485647,950.3905840404684,True
dbpedia_14,large-6,456,0.01,1.0,11.000147042372891,0.11000147042372892,0.0003472303038485647,316.7968613468228,True
dbpedia_14,large-6,456,0.001,1.0,11.000147042372891,0.011000147042372892,0.0003472303038485647,31.67968613468228,True
dbpedia_14,large-6,456,0.0001,1.0,11.000147042372891,0.0011000147042372892,0.0003472303038485647,3.1679686134682283,True
dbpedia_14,medium-4,123,1.0,1.0,5.0747600248618046,5.0747600248618046,0.0003472303038485647,14614.968706979638,True
dbpedia_14,medium-4,123,0.3,1.0,5.0747600248618046,1.5224280074585412,0.0003472303038485647,4384.490612093891,True
dbpedia_14,medium-4,123,0.1,1.0,5.0747600248618046,0.5074760024861805,0.0003472303038485647,1461.496870697964,True
dbpedia_14,medium-4,123,0.03,1.0,5.0747600248618046,0.15224280074585414,0.0003472303038485647,438.44906120938913,True
dbpedia_14,medium-4,123,0.01,1.0,5.0747600248618046,0.05074760024861805,0.0003472303038485647,146.14968706979639,True
dbpedia_14,medium-4,123,0.001,1.0,5.0747600248618046,0.005074760024861805,0.0003472303038485647,14.614968706979639,True
dbpedia_14,medium-4,123,0.0001,1.0,5.0747600248618046,0.0005074760024861805,0.0003472303038485647,1.4614968706979639,True
dbpedia_14,medium-4,42,1.0,1.0,5.105076965398684,5.105076965398684,0.0003472303038485647,14702.27946356067,True
dbpedia_14,medium-4,42,0.3,1.0,5.105076965398684,1.5315230896196053,0.0003472303038485647,4410.6838390682005,True
dbpedia_14,medium-4,42,0.1,1.0,5.105076965398684,0.5105076965398684,0.0003472303038485647,1470.227946356067,True
