dataset_name,model_name,condition,seed,threshold,threshold_source,first_guard_trigger_step,first_step_update_ratio,max_guard_window_ratio,max_training_ratio,guard_trigger_count,stopped_by_guard,rescued_once,test_acc,ece,nll,brier,generalization_gap_01
ag_news,medium-4,buggy_rescue_guard,42,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0015979306486014,,1,False,True,0.9272368421052632,0.0244111077879604,0.2397246807813644,0.115609932915854,0.0240180598555211
ag_news,medium-4,buggy_rescue_guard,123,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0014866837927321,,1,False,True,0.925921052631579,0.0240152341754812,0.2391940653324127,0.1147589602107339,0.0301867905056759
ag_news,medium-4,buggy_rescue_guard,456,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0015736168184993,,1,False,True,0.9269736842105264,0.0268921441937747,0.2429627627134323,0.1161266600205712,0.0375655314757482
ag_news,medium-4,single_bad_first_step_then_stable,42,0.0200438681041893,calibrated_10x_safe_max,,5.100825329224488,5.100825329224488,,0,False,False,0.3980263157894737,0.6007964963191433,16.38062858581543,1.201952224631405,-0.0014674922600619
ag_news,medium-4,single_bad_first_step_then_stable,123,0.0200438681041893,calibrated_10x_safe_max,,5.076113987968168,5.076113987968168,,0,False,False,0.47,0.5276366209277981,14.236041069030762,1.0558866346953113,0.0041666666666667
ag_news,medium-4,single_bad_first_step_then_stable,456,0.0200438681041893,calibrated_10x_safe_max,,5.095492677053694,5.095492677053694,,0,False,False,0.4018421052631579,0.596323727463421,16.116159439086914,1.1934245725331114,0.0044520123839009
ag_news,large-6,buggy_no_guard,42,0.0200438681041893,calibrated_10x_safe_max,,11.004383542847531,11.004383542847531,,0,False,False,0.7523684210526316,0.235331396723264,5.111176013946533,0.4778940740136004,0.0229256965944272
ag_news,large-6,buggy_no_guard,123,0.0200438681041893,calibrated_10x_safe_max,,10.991920611163897,10.991920611163897,,0,False,False,0.7277631578947369,0.2579867625079657,4.85897970199585,0.5249716523732417,0.0144133126934984
ag_news,large-6,buggy_no_guard,456,0.0200438681041893,calibrated_10x_safe_max,,10.998500859253104,10.998500859253104,,0,False,False,0.7530263157894737,0.2381923945875544,5.487861156463623,0.4804005544004736,0.0249736842105263
ag_news,large-6,buggy_failfast_guard,42,0.0200438681041893,calibrated_10x_safe_max,1.0,11.004383542847531,11.004383542847531,,1,True,False,0.2561842105263158,0.7437971591165192,20.5487117767334,1.4875633146308993,-0.0003410732714138
ag_news,large-6,buggy_failfast_guard,123,0.0200438681041893,calibrated_10x_safe_max,1.0,10.991920611163897,10.991920611163897,,1,True,False,0.2443421052631579,0.7556578947368421,20.879600524902344,1.5113157894736842,0.0008343653250774
ag_news,large-6,buggy_failfast_guard,456,0.0200438681041893,calibrated_10x_safe_max,1.0,10.998500859253104,10.998500859253104,,1,True,False,0.25,0.75,20.7232666015625,1.5,-4.901960784314818e-05
ag_news,large-6,buggy_rescue_guard,42,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0019634911708968,,1,False,True,0.925657894736842,0.037655651094882,0.2623977363109588,0.1195848625703351,0.037047987616099
ag_news,large-6,buggy_rescue_guard,123,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0020912819796164,,1,False,True,0.9239473684210526,0.0374397601775432,0.2615624368190765,0.1193720133712923,0.040297729618163
ag_news,large-6,buggy_rescue_guard,456,0.0200438681041893,calibrated_10x_safe_max,1.0,,0.0020270082737057,,1,False,True,0.9163157894736842,0.0141519582467643,0.252638429403305,0.1277600817937895,0.0254783281733745
ag_news,large-6,single_bad_first_step_then_stable,42,0.0200438681041893,calibrated_10x_safe_max,,11.004383542847531,11.004383542847531,,0,False,False,0.3948684210526316,0.6046804619462867,16.62782096862793,1.2094158052666095,0.0006707946336429
ag_news,large-6,single_bad_first_step_then_stable,123,0.0200438681041893,calibrated_10x_safe_max,,10.991920611163897,10.991920611163897,,0,False,False,0.3655263157894737,0.6337884547757475,17.399028778076172,1.2678688518959875,0.0026305469556243
ag_news,large-6,single_bad_first_step_then_stable,456,0.0200438681041893,calibrated_10x_safe_max,,10.998500859253104,10.998500859253104,,0,False,False,0.3728947368421053,0.6262830896832442,17.20865249633789,1.253178514233468,0.0116444788441692
